@relation Categorization

@attribute denies numeric
@attribute 'she denies' numeric
@attribute 'patient denies' numeric
@attribute 'denies tobacco' numeric
@attribute 'the patient denies' numeric
@attribute 'denies any' numeric
@attribute denied numeric
@attribute use numeric
@attribute 'any tobacco' numeric
@attribute 'denies any tobacco' numeric
@attribute 'she denies any' numeric
@attribute 'or alcohol' numeric
@attribute 'tobacco or' numeric
@attribute 'denies tobacco or' numeric
@attribute 'he denies' numeric
@attribute 'denies alcohol' numeric
@attribute alcohol numeric
@attribute 'patient denied' numeric
@attribute no numeric
@attribute 'patient denies tobacco' numeric
@attribute tobacco numeric
@attribute 'denies tobacco or alcohol' numeric
@attribute 'denies smoking' numeric
@attribute 'the patient denies tobacco' numeric
@attribute 'patient denies any' numeric
@attribute 'the patient denied' numeric
@attribute 'tobacco or alcohol' numeric
@attribute never numeric
@attribute 'alcohol or' numeric
@attribute 'denies alcohol or' numeric
@attribute 'tobacco or alcohol use' numeric
@attribute 'or tobacco' numeric
@attribute 'alcohol or tobacco' numeric
@attribute smoking numeric
@attribute 'or tobacco use' numeric
@attribute 'denies any alcohol' numeric
@attribute 'tobacco use' numeric
@attribute smoker numeric
@attribute 'smoking or' numeric
@attribute 'a smoker' numeric
@attribute 'alcohol or tobacco use' numeric
@attribute 'smoking status' numeric
@attribute 'and denies' numeric
@attribute 'never a' numeric
@attribute 'never a smoker' numeric
@attribute 'status never' numeric
@attribute 'smoking status never' numeric
@attribute 'status never a' numeric
@attribute 'smoking status never a' numeric
@attribute 'status never a smoker' numeric
@attribute 'smoking status never a smoker' numeric
@attribute none numeric
@attribute 'alcohol use' numeric
@attribute 'smoking or alcohol' numeric
@attribute 'tobacco alcohol' numeric
@attribute cigarette numeric
@attribute 'or drug use' numeric
@attribute 'use or' numeric
@attribute not numeric
@attribute 'smoking no' numeric
@attribute 'tobacco and' numeric
@attribute negative numeric
@attribute 'no tobacco' numeric
@attribute 'social history' numeric
@attribute 'tobacco alcohol or' numeric
@attribute 'does not' numeric
@attribute 'a history of tobacco' numeric
@attribute 'cigarette use' numeric
@attribute 'not smoke' numeric
@attribute smoke numeric
@attribute 'does not smoke' numeric
@attribute 'tobacco none' numeric
@attribute 'no alcohol' numeric
@attribute < numeric
@attribute 'and tobacco use' numeric
@attribute 'a smoker uaprotein' numeric
@attribute 'never a smoker uaprotein' numeric
@attribute 'smoker uaprotein' numeric
@attribute 'status never a smoker uaprotein' numeric
@attribute nonsmoker numeric
@attribute 'smoking never' numeric
@attribute 'substance abuse' numeric
@attribute 'of tobacco or' numeric
@attribute last numeric
@attribute neg numeric
@attribute 'no etoh' numeric
@attribute 'no smoking' numeric
@attribute 'current tobacco use' numeric
@attribute 'with the' numeric
@attribute 'current tobacco' numeric
@attribute 'tobacco use and' numeric
@attribute 'alcohol abuse' numeric
@attribute 'results smoking status never' numeric
@attribute 'results smoking status never a' numeric
@attribute 'in results smoking status never' numeric
@attribute 'results smoking' numeric
@attribute 'results smoking status' numeric
@attribute 'in results smoking' numeric
@attribute 'in results smoking status' numeric
@attribute 'report in results smoking' numeric
@attribute 'see report in results smoking' numeric
@attribute 'report in results smoking status' numeric
@attribute 'history of cigarette' numeric
@attribute 'of cigarette' numeric
@attribute 'of tobacco or alcohol' numeric
@attribute 'smoking no alcohol' numeric
@attribute 'she does' numeric
@attribute 'drugs none' numeric
@attribute 'no history of tobacco' numeric
@attribute 'never a smoker uaprotein negative' numeric
@attribute 'she does not smoke' numeric
@attribute x numeric
@attribute cigarettes numeric
@attribute 'none in' numeric
@attribute 'smoking none' numeric
@attribute months numeric
@attribute 'no alcohol use' numeric
@attribute 'history smoking no' numeric
@attribute 'social history smoking no' numeric
@attribute 'smoking no etoh' numeric
@attribute 'less then' numeric
@attribute 'tobacco abuse' numeric
@attribute 'last months' numeric
@attribute 'none alcohol' numeric
@attribute 'in last' numeric
@attribute 'none in last' numeric
@attribute 'no concerns' numeric
@attribute 'etoh no concerns' numeric
@attribute 'alcohol none' numeric
@attribute 'smoking no alcohol use' numeric
@attribute 'in last months' numeric
@attribute 'td booster triglycerides' numeric
@attribute per numeric
@attribute 'history smoking no alcohol' numeric
@attribute 'none in last months' numeric
@attribute ppd numeric
@attribute 'a nonsmoker' numeric
@attribute 'status never a smoker stool' numeric
@attribute 'smoke or' numeric
@attribute 'no history of tobacco use' numeric
@attribute 'no tobacco or' numeric
@attribute 'history smoking no alcohol use' numeric
@attribute 'not smoke or' numeric
@attribute 'smoke and' numeric
@attribute 'does not smoke or' numeric
@attribute 'patient does not' numeric
@attribute 'the patient does' numeric
@attribute 'tobacco no' numeric
@attribute 'is a nonsmoker' numeric
@attribute 'the patient does not' numeric
@attribute 'a smoker td' numeric
@attribute 'smoker td' numeric
@attribute 'never a smoker td' numeric
@attribute 'status never a smoker td' numeric
@attribute 'drink alcohol' numeric
@attribute rare numeric
@attribute 'of pack years' numeric
@attribute 'year history of cigarette' numeric
@attribute 'pack year history of cigarette' numeric
@attribute 'past history of' numeric
@attribute admit numeric
@attribute 'significant smoking' numeric
@attribute pw numeric
@attribute 'of pack' numeric
@attribute 'one to two' numeric
@attribute 'one to' numeric
@attribute 'a smoking history' numeric
@attribute 'a smoking' numeric
@attribute 'a past' numeric
@attribute 'day and' numeric
@attribute 'pack years' numeric
@attribute 'smoking never etoh' numeric
@attribute 'no etoh no' numeric
@attribute 'tobacco never' numeric
@attribute 'not smoke and' numeric
@attribute 'patient does not smoke' numeric
@attribute 'or drink' numeric
@attribute 'never a smoker td booster' numeric
@attribute 'the patient does not smoke' numeric
@attribute 'no tobacco or alcohol' numeric
@attribute smoked numeric
@attribute 'never smoked' numeric
@attribute wk numeric
@attribute 'smoking no etoh no' numeric
@attribute class {N,D}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,N
1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
